Название вина,Категория,Цвет,Регион,Сорт винограда,Описание,Винодельня,Slug,Название фото
ZB Moscato Semi-Sweet Rose,Розовое,Нежно-розовый,Крым,"Мускат Гамбургский, Мускат Янтарный","Изысканный мускатный аромат с нотами розы, клубники и экзотических фруктов. Вкус нежный, сочный, ароматный, с характерными мускатными тонами и деликатной сладостью.
Прекрасно сочетается с лесной земляникой, клубникой, малиной, персиками, фруктовыми десертами и мягкими пирожными.",Золотая Балка,zolotaya-balka-zb-moscato-semi-sweet-rose-muskat-yantarnyy-rozovoe-polusladkoe-9,zolotaya-balka-zb-moscato-semi-sweet-rose-muskat-yantarnyy-rozovoe-polusladkoe-9.webp
ZB Moscato Semi-Sweet Rose,Розовое,Нежно-розовый,Крым,"Мускат Гамбургский, Мускат Янтарный","Изысканный мускатный аромат с нотами розы, клубники и экзотических фруктов. Вкус нежный, сочный, ароматный, с характерными мускатными тонами и деликатной сладостью.
Прекрасно сочетается с лесной земляникой, клубникой, малиной, персиками, фруктовыми десертами и мягкими пирожными.",Золотая Балка,zolotaya-balka-zb-moscato-semi-sweet-rose-muskat-yantarnyy-rozovoe-polusladkoe-9,zolotaya-balka-zb-moscato-semi-sweet-rose-muskat-yantarnyy-rozovoe-polusladkoe-9.webp
ZB Spumante Brut,Белое,Соломенно-золотистый,Крым,"Рислинг, Шардоне","Изысканный букет цитрусовых, весенних цветов и белых фруктов. Вкус свежий, тонкий, с хорошей кислотностью — классический стиль Charmat.
Прекрасен как аперитив, к морепродуктам, рыбе, птице, мягким сырам и фруктам.",Золотая Балка,zolotaya-balka-zb-spumante-brut-risling-beloe-bryut-125,zolotaya-balka-zb-spumante-brut-risling-beloe-bryut-125.webp
ZB Spumante Brut,Белое,Соломенно-золотистый,Крым,"Рислинг, Шардоне","Изысканный букет цитрусовых, весенних цветов и белых фруктов. Вкус свежий, тонкий, с хорошей кислотностью — классический стиль Charmat.
Прекрасен как аперитив, к морепродуктам, рыбе, птице, мягким сырам и фруктам.",Золотая Балка,zolotaya-balka-zb-spumante-brut-risling-beloe-bryut-125,zolotaya-balka-zb-spumante-brut-risling-beloe-bryut-125.webp
ZB Spumante Semi-Dry,Белое,Соломенно-золотистый,Крым,"Рислинг, Шардоне","Аромат тонких цитрусовых, белых цветов и спелых фруктов. Вкус лёгкий, освежающий, с деликатной природной сладостью и хорошей кислотностью.
Хорошо как аперитив, к морепродуктам, рыбе, белому мясу, лёгким десертам.",Золотая Балка,zolotaya-balka-zb-spumante-semi-dry-risling-beloe-polusuhoe-125,zolotaya-balka-zb-spumante-semi-dry-risling-beloe-polusuhoe-125.webp
ZB Spumante Semi-Dry,Белое,Соломенно-золотистый,Крым,"Рислинг, Шардоне","Аромат тонких цитрусовых, белых цветов и спелых фруктов. Вкус лёгкий, освежающий, с деликатной природной сладостью и хорошей кислотностью.
Хорошо как аперитив, к морепродуктам, рыбе, белому мясу, лёгким десертам.",Золотая Балка,zolotaya-balka-zb-spumante-semi-dry-risling-beloe-polusuhoe-125,zolotaya-balka-zb-spumante-semi-dry-risling-beloe-polusuhoe-125.webp
ZB Wine Moscato белое полусладкое,Белое,Светло-золотистый,Крым,"Мускат Белый, Мускат Янтарный","Игристое вино обладает ярким, мускатным ароматом с оттенками персика, абрикоса и лепестков чайной розы. Игристое вино демонстрирует сладковатый, но не приторный вкус с нотами грейпфрута и тропических фруктов, бархатистой текстурой и долгим послевкусием",Золотая Балка,zb-wine-moscato-beloe-polusladkoe,ЗБ ВАЙН Москато белое полусладкое.webp
ZB Wine Moscato белое полусладкое,Белое,Светло-золотистый,Крым,"Мускат Белый, Мускат Янтарный","Игристое вино обладает ярким, мускатным ароматом с оттенками персика, абрикоса и лепестков чайной розы. Игристое вино демонстрирует сладковатый, но не приторный вкус с нотами грейпфрута и тропических фруктов, бархатистой текстурой и долгим послевкусием",Золотая Балка,zb-wine-moscato-beloe-polusladkoe,ЗБ ВАЙН Москато белое полусладкое.webp
ZB Wine Riesling,Белое,Светло-соломенный с зеленоватым оттенком,Крым,Рислинг,"Аромат переплетает ноты ананаса, айвы и манго с вкраплениями гречишного мёда и апельсинового конфитюра. Вкус: деликатная природная сладость переплетается с лёгкой кислотностью.
Отлично к рыбным блюдам, морепродуктам, блюдам азиатской кухни; достоин украсить торжественный стол.",Золотая Балка,zolotaya-balka-zb-wine-riesling-risling-beloe-polusuhoe-115,zolotaya-balka-zb-wine-riesling-risling-beloe-polusuhoe-115.webp
ZB Wine Riesling,Белое,Светло-соломенный с зеленоватым оттенком,Крым,Рислинг,"Аромат переплетает ноты ананаса, айвы и манго с вкраплениями гречишного мёда и апельсинового конфитюра. Вкус: деликатная природная сладость переплетается с лёгкой кислотностью.
Отлично к рыбным блюдам, морепродуктам, блюдам азиатской кухни; достоин украсить торжественный стол.",Золотая Балка,zolotaya-balka-zb-wine-riesling-risling-beloe-polusuhoe-115,zolotaya-balka-zb-wine-riesling-risling-beloe-polusuhoe-115.webp
